Date,Open,High,Low,Close,Adj Close,Volume
2014-08-05,20.055096,20.253443,19.796143,19.807161,14.742392,31838911
2014-08-06,19.779613,20.055096,19.564737,19.724518,14.680877,16305778
2014-08-07,19.867767,19.867767,19.421488,19.548208,14.549648,16859716
2014-08-08,19.366390,19.498623,19.041323,19.283747,14.352819,14067339
2014-08-11,19.476583,19.719007,19.322313,19.636362,14.615269,15306439
2014-08-12,19.614325,19.790632,19.415977,19.581266,14.574263,10612849
2014-08-13,19.658401,19.812672,19.112947,19.245178,14.324112,28815121
2014-08-14,19.168043,19.476583,19.096418,19.410467,14.583054,22929258
2014-08-15,19.608814,19.812672,19.559229,19.696968,14.798299,16652806
2014-08-18,19.955921,20.033056,19.674931,19.983471,15.013548,15959476
2014-08-19,19.889807,20.732782,19.856749,20.666666,15.526827,20588997
2014-08-20,20.628099,20.809917,20.490358,20.765841,15.601347,21315360
2014-08-21,20.738293,20.936640,20.567493,20.887053,15.692410,15327312
2014-08-22,20.749311,20.853994,20.528925,20.650137,15.514414,14819112
2014-08-25,20.876034,21.201101,20.793388,21.162535,15.899382,16150414
2014-08-26,21.162535,21.355371,21.030302,21.305784,16.007000,18997242
2014-08-27,21.460054,22.027548,21.393938,21.950413,16.491314,28772832
2014-08-28,21.818180,22.005508,21.603306,21.741047,16.334015,22966284
2014-08-29,21.928373,22.396694,21.774103,22.314049,16.764505,24851161
2014-09-01,22.650137,22.743801,22.000000,22.314049,16.770721,15037456
2014-09-02,22.297520,22.815426,22.082644,22.721764,17.077154,19446091
2014-09-03,22.865013,22.931129,22.269972,22.644629,17.019169,24139500
2014-09-04,22.209366,22.644629,22.000000,22.181818,16.671335,21839895
2014-09-05,22.082644,22.363636,22.044077,22.347107,16.795567,27393976
2014-09-08,22.534435,22.644629,21.614325,21.768595,16.360777,21918666
2014-09-09,21.553719,21.763084,21.168043,21.432507,16.108177,24923761
2014-09-10,21.267218,21.349861,20.876034,21.201101,15.934253,24122076
2014-09-11,21.239670,21.449036,21.013775,21.168043,15.909419,13986753
2014-09-12,20.760330,20.964188,20.236914,20.407713,15.337961,41351326
2014-09-15,20.457300,20.986225,20.264462,20.925619,15.727209,22806382
2014-09-16,21.013775,22.066114,21.013775,21.465565,16.133011,31228527
2014-09-17,21.889807,21.966942,21.465565,21.559229,16.203424,21056904
2014-09-18,21.382919,21.575756,21.151514,21.305784,16.012928,21048918
2014-09-19,21.041323,21.300276,20.716253,20.798899,15.631968,18161434
2014-09-22,20.369146,20.561983,20.187326,20.517906,15.420782,15738409
2014-09-23,20.435261,20.760330,20.264462,20.418732,15.346247,18382501
2014-09-24,20.297520,20.661158,20.143250,20.578512,15.466327,15362704
2014-09-25,20.440771,20.451790,19.922865,19.933884,14.981845,20103484
2014-09-26,19.955921,20.881542,19.900826,20.771349,15.611272,15949494
2014-09-29,19.283747,19.774103,19.074381,19.316805,14.518059,40346542
2014-09-30,19.179064,19.272726,18.473829,18.650137,14.017007,41840650
2014-10-01,18.341597,18.506887,17.966942,18.159779,13.654510,34991748
2014-10-02,18.297520,19.024794,18.099173,18.765841,14.110220,31908063
2014-10-03,18.953169,19.283747,18.716253,19.206612,14.441643,23842747
2014-10-06,21.487602,21.845730,20.192837,20.236914,15.216335,61115587
2014-10-07,20.595041,20.798899,20.005508,20.269972,15.241194,47751924
2014-10-08,20.661158,20.771349,19.630854,20.005508,15.042344,44531751
2014-10-09,20.385674,20.578512,20.143250,20.258953,15.232900,30374025
2014-10-10,19.421488,19.421488,19.421488,19.421488,14.603209,24318096
2014-10-13,20.077133,21.239670,20.022038,20.936640,15.742462,47338830
2014-10-14,20.787878,21.482094,20.573002,21.129477,15.887468,29510448
2014-10-15,20.550964,20.732782,19.393938,20.181818,15.174914,46544223
2014-10-16,19.482094,20.203856,19.355371,19.647383,14.773064,38565120
2014-10-17,20.137741,20.325068,19.763084,20.220385,15.203918,32611012
2014-10-20,19.724518,19.724518,19.724518,19.724518,14.831064,33483301
2014-10-21,18.732782,18.732782,18.732782,18.732782,14.085364,48855262
2014-10-22,18.622589,19.008265,18.462809,18.611570,13.994227,26911005
2014-10-23,18.446280,18.446280,17.752066,17.768595,13.360378,45958522
2014-10-24,17.801653,18.870523,17.707989,18.264462,13.733231,48435271
2014-10-27,17.862259,17.862259,17.862259,17.862259,13.430813,84778650
